2025-05-25 14:53:25 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 14:53:25 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 14:53:25 | ERROR    | __main__:run:286 | Failed to start application: SyncManager.__init__() got an unexpected keyword argument 'auth_api_client'
2025-05-25 14:53:25 | INFO     | __main__:cleanup:297 | ChaoOffice application shutting down
2025-05-25 14:54:00 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 14:54:00 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 14:54:00 | INFO     | __main__:initialize_api_clients:136 | API clients initialized successfully
2025-05-25 14:54:00 | ERROR    | __main__:run:285 | Failed to start application: AuthService.__init__() got an unexpected keyword argument 'local_db_manager'
2025-05-25 14:54:00 | INFO     | __main__:cleanup:296 | ChaoOffice application shutting down
2025-05-25 14:55:47 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 14:55:47 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 14:55:47 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 14:55:47 | ERROR    | __main__:run:286 | Failed to start application: 'ConfigManager' object has no attribute 'get_setting'
2025-05-25 14:55:47 | INFO     | __main__:cleanup:297 | ChaoOffice application shutting down
2025-05-25 14:57:03 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 14:57:03 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 14:57:03 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 14:57:03 | ERROR    | __main__:run:286 | Failed to start application: 'ConfigManager' object has no attribute 'update_setting'
2025-05-25 14:57:03 | INFO     | __main__:cleanup:297 | ChaoOffice application shutting down
2025-05-25 16:38:24 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 16:38:24 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:38:24 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:38:24 | INFO     | __main__:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:38:24 | INFO     | src.qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:38:24 | ERROR    | __main__:run:286 | Failed to start application: ProductHandler.__init__() missing 1 required positional argument: 'auth_service'
2025-05-25 16:38:24 | INFO     | __main__:cleanup:297 | ChaoOffice application shutting down
2025-05-25 16:38:58 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 16:38:58 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:38:58 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:38:58 | INFO     | __main__:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:38:58 | INFO     | src.qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:38:58 | INFO     | __main__:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 16:38:58 | ERROR    | __main__:run:285 | Failed to start application: Callback (<function ChaoOfficeApplication.register_qml_types.<locals>.create_theme_singleton at 0x00000213E14CC2C0>) has 2 parameter(s), expected one.
2025-05-25 16:38:58 | INFO     | __main__:cleanup:296 | ChaoOffice application shutting down
2025-05-25 16:39:28 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 16:39:28 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:39:28 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:39:28 | INFO     | __main__:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:39:28 | INFO     | src.qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:39:28 | INFO     | __main__:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 16:39:28 | INFO     | __main__:register_qml_types:204 | QML types registered successfully
2025-05-25 16:39:28 | INFO     | __main__:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 16:39:28 | ERROR    | __main__:load_main_qml:238 | Failed to load QML file
2025-05-25 16:39:59 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 16:39:59 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:39:59 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:39:59 | INFO     | __main__:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:39:59 | INFO     | src.qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:39:59 | INFO     | __main__:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 16:39:59 | INFO     | __main__:register_qml_types:204 | QML types registered successfully
2025-05-25 16:39:59 | INFO     | __main__:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 16:39:59 | ERROR    | __main__:load_main_qml:238 | Failed to load QML file
2025-05-25 16:41:44 | INFO     | src.logging.log_manager:setup_logging:64 | Logging system initialized
